layer,head,model_family,self_base_median,self_instruct_median,neutral_base_median,neutral_instruct_median,self_diff_median,neutral_diff_median,did_median,log_ratio_median,did_log_ratio_median,self_consistency,did_consistency,self_diff_iqr,did_iqr,log_ratio_iqr,baseline_entropy,n_self,n_neutral,magnitude_score,consistency_score,baseline_score,composite_score,rank,layer_head
5,8,llama,0.033965815,0.029170258,0.025210757,0.029805642,-0.006924728,0.0025998326,-0.010321249,-0.19939057473987876,-0.3202002858210711,0.8666666666666667,0.9333333333333333,0.0067579313181340694,0.009369420818984509,0.23150896394845083,0.033965815,30,30,4.750272165204322,1.9523661667729972,1.3827001,8.085338417617272,1,5_8
16,23,llama,0.019841578,0.021926735,0.009240547,0.013934186,0.0005910699,0.004666508,-0.0038713452,0.025709935243067285,-0.3125615585015524,0.5666666666666667,0.8333333333333334,0.0038772576954215765,0.004915811470709741,0.2923047353218676,0.019841578,30,30,4.609858170900047,1.1696872075759928,1.4571886,7.236733984738247,2,16_23
14,3,llama,0.23285893,0.23156492,0.37105602,0.2849213,-0.0032345504,-0.09360775,0.0894884,-0.015317407371923868,0.2857953951901627,0.5333333333333333,0.9666666666666667,0.04444791004061699,0.06307618319988251,0.21319909474842966,0.23285893,30,30,4.117846380775097,2.2132591531719985,0.33377555,6.664881084074125,3,14_3
9,20,llama,0.23604575,0.2800781,0.27576792,0.2500459,0.040096264,-0.027062848,0.07883965,0.17622932720193893,0.28637392530804706,0.9333333333333333,0.9666666666666667,0.04856334626674652,0.03884781524538994,0.1969568648743491,0.23604575,30,30,4.128480838752133,2.2132591531719985,0.31696883,6.658708820363844,4,9_20
5,9,llama,0.053470097,0.042028572,0.040538684,0.045059398,-0.010462644,0.0040056985,-0.014209162,-0.20614743620129491,-0.27466777359755623,0.8666666666666667,0.8666666666666667,0.008322340901941061,0.012041712645441294,0.23666582115888996,0.053470097,30,30,3.9133000303729957,1.4305801939749943,1.2798382,6.62371842873184,5,5_9
24,7,llama,0.13571626,0.15472254,0.14806382,0.13139887,0.021969795,-0.02160184,0.052308954,0.1254075534246692,0.2937160387704168,0.7333333333333333,0.8666666666666667,0.03456418216228485,0.036087289452552795,0.20936953366516456,0.13571626,30,30,4.263442519509116,1.4305801939749943,0.8460876,6.540110288442912,6,24_7
5,10,llama,0.022990555,0.019542359,0.017065339,0.018714065,-0.0038399575,0.0008125445,-0.005078216,-0.18948516719409259,-0.2526757362542856,0.8666666666666667,0.8,0.007002824451774359,0.006867605494335294,0.2715753092484844,0.022990555,30,30,3.5090455417532898,0.9087942211769914,1.4405816,5.858421323065169,7,5_10
6,31,llama,0.030023798,0.036091134,0.06360056,0.051044844,0.0054439763,-0.0051496457,0.0100160595,0.15497122072801633,0.25223416625301626,0.8333333333333334,0.8,0.011785433627665043,0.01484768558293581,0.2855315125198838,0.030023798,30,30,3.5009286650734874,0.9087942211769914,1.4034895,5.813212356732351,8,6_31
13,20,llama,0.1603819,0.16194779,0.2545511,0.20912069,0.008250065,-0.04435072,0.053753585,0.04457845913680647,0.24437939349838492,0.5333333333333333,0.8666666666666667,0.02627408131957054,0.04669800400733948,0.16738526786840702,0.1603819,30,30,3.3565433544456336,1.4305801939749943,0.7160056,5.503129171761234,9,13_20
22,7,llama,0.26952463,0.27503788,0.2694083,0.23593064,0.007939398,-0.047389127,0.061565183,0.029203431685592633,0.24472282659256783,0.6333333333333333,0.9333333333333333,0.026908032596111298,0.0454039741307497,0.11586964560224408,0.26952463,30,30,3.362856292519399,1.9523661667729972,0.14040755,5.455630006647095,10,22_7
