layer,head,model_family,self_base_median,self_instruct_median,neutral_base_median,neutral_instruct_median,self_diff_median,neutral_diff_median,did_median,log_ratio_median,did_log_ratio_median,self_consistency,did_consistency,self_diff_iqr,did_iqr,log_ratio_iqr,baseline_entropy,n_self,n_neutral,magnitude_score,consistency_score,baseline_score,composite_score,rank,layer_head
27,5,mistral,0.1873634,0.4322893,0.051839784,0.36306477,0.26296735,0.3095901,-0.06157335,0.8323938036105036,-1.0279525486226446,1.0,0.7666666666666667,0.08842885494232178,0.13370706886053085,0.27857514969318664,0.1873634,30,30,7.046516380948436,0.5862622976804335,0.61596084,8.248739515039393,1,27_5
9,26,mistral,0.068620846,0.26416504,0.13740215,0.27865708,0.1970604,0.12717693,0.056177408,1.3001122266371086,0.6474770029792332,1.0,0.8333333333333334,0.03806480020284653,0.07376883924007416,0.23383210462311932,0.068620846,30,30,4.0041753358954315,1.0775328319069168,1.2475011,6.329209302674785,2,9_26
15,16,mistral,0.13780722,0.4633535,0.23488773,0.4360692,0.32344565,0.2022866,0.108425036,1.175026415843461,0.5813916551798208,1.0,0.9,0.05094762146472931,0.07957031950354576,0.2590374024490232,0.13780722,30,30,3.4757467196836895,1.5688033661334,0.8795287,5.924078787122479,3,15_16
9,25,mistral,0.124941304,0.3581699,0.19417801,0.36248755,0.235779,0.15750873,0.07683879,1.0503419353334023,0.5319241427701327,1.0,0.9333333333333333,0.025705743581056595,0.056282222270965576,0.33435201185714125,0.124941304,30,30,3.080196873908025,1.8144386332466418,0.947957,5.8425924864294165,4,9_25
18,13,mistral,0.18396115,0.4356115,0.30008012,0.39699233,0.2515043,0.09122218,0.16967195,0.8282611538394824,0.5698673326537369,0.9666666666666667,0.9333333333333333,0.05469527840614319,0.1114300973713398,0.18957038856034003,0.18396115,30,30,3.38359646235705,1.8144386332466418,0.6340559,5.832091008098351,5,18_13
19,28,mistral,0.23721153,0.6727036,0.32842863,0.5131272,0.40589023,0.16017056,0.26761562,0.9753829841524977,0.5399861603485014,1.0,1.0,0.10299625247716904,0.13192680478096008,0.3407438197609507,0.23721153,30,30,3.144662007779198,2.305709167473125,0.35084024,5.801211415969258,6,19_28
18,3,mistral,0.06828326,0.4002639,0.17840837,0.4486075,0.31060505,0.27316213,0.050660543,1.7613207329808427,0.8161819717693262,1.0,0.5666666666666667,0.10302046686410904,0.21307554468512535,0.3064238636724268,0.06828326,30,30,5.353166241964125,-0.8875493049990174,1.2492965,5.714913482947469,7,18_3
16,22,mistral,0.18399009,0.53322375,0.27718168,0.49098927,0.3688862,0.20277412,0.1579163,1.0473909233601457,0.5352789588718891,1.0,0.9333333333333333,0.08674237132072449,0.10859011113643646,0.4128586086815529,0.18399009,30,30,3.1070225000010727,1.8144386332466418,0.633902,5.555363146549563,8,16_22
16,25,mistral,0.18616131,0.5410762,0.28509146,0.44957173,0.34568095,0.18559074,0.1720835,0.9619904615730315,0.4996535383453203,1.0,0.9666666666666667,0.10127504914999008,0.12972481548786163,0.34361751723665646,0.18616131,30,30,2.8221561521994865,2.0600739003598836,0.62235427,5.50458432158708,9,16_25
27,4,mistral,0.16519031,0.43031973,0.3499854,0.45663705,0.2612095,0.08145136,0.16263306,0.904860545728446,0.6704637742978073,0.9666666666666667,0.7,0.10108016431331635,0.34938326478004456,0.42704277347947217,0.16519031,30,30,4.187981098648153,0.09499176345394927,0.73388994,5.0168627995029205,10,27_4
