layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
0,-0.0814827276127679,0.1271889471410528,-0.13080145269694848,-0.03216400252858731,0.065795206,0.06969899,0.03876876175635159,0.09282164931065738,28,-0.0830896645784378,0.12054010078166867,-0.12983023619019626,-0.036349092966679354,0.06904527,0.06958864,0.04206161080897604,0.09602892518936838,28,-0.0016069369656699084,0.0032500625,-0.06955557697062441,0.06634170303928459,-0.034940860209206816,0.041440985140542265
1,-0.12754153779574803,0.3134185222893555,-0.24907255353673502,-0.006010522054761033,0.09695614,0.09993374,0.05820588089736503,0.1357064016887327,28,-0.10820902245385307,0.28961695151654626,-0.22051075253832753,0.004092707630621403,0.11892923,0.087420434,0.08503112424974393,0.15282733510370303,28,0.019332515341894965,0.021973088,-0.14614094587470672,0.18480597655849668,-0.02951151351118248,0.07345769027853172
2,-0.023197455065590993,0.2352206142996487,-0.11440648754473529,0.06801157741355329,0.17865424,0.20907366,0.09758393548005961,0.2597245416832552,28,-0.0824068444115775,0.2292518254499205,-0.17130142219177058,0.006487733368615578,0.16884235,0.21199624,0.08663878429401135,0.2510459066582897,28,-0.059209389345986504,-0.009811893,-0.1865723885431646,0.06815360985119161,-0.12526673066552702,0.10564294445451322
3,-0.03360248676368168,0.2628098656952593,-0.13550951411929496,0.06830454059193158,0.26152736,0.17230682,0.19471374939035707,0.32834096958089537,28,-0.027403986879757473,0.2866633704981994,-0.13856043780647495,0.08375246404696002,0.25241032,0.17735974,0.1836373928874195,0.32118325196807973,28,0.006198499883924208,-0.009117037,-0.1446020266638351,0.1569990264316835,-0.10500120849154888,0.08676713437579571
4,0.07265494763851166,0.16604264065331384,0.008270333010398243,0.13703956226662506,0.15310803,0.10007639,0.11430245672549531,0.19191360438976957,28,0.05289922228881291,0.14736308090555003,-0.004242215218950442,0.11004065979657626,0.1408753,0.115168735,0.09621752126043367,0.18553306834871244,28,-0.01975572534969875,-0.012232736,-0.10584011697364124,0.06632866627424375,-0.07139513342557671,0.04692966191945793
5,0.03514160428728376,0.20253654567137536,-0.043393869431108595,0.11367707800567611,0.103715256,0.22080849,0.018094661346290244,0.18933585036673772,28,0.05722521884100778,0.17349003360263554,-0.010047193301886005,0.12449763098390157,0.13464148,0.17979199,0.0649254288815761,0.204357537970612,28,0.02208361455372402,0.030926228,-0.08132527320596353,0.12549250231341158,-0.07948760519397523,0.1413400603331354
6,0.010283031633922033,0.1215475617470275,-0.036848192558115056,0.05741425582595912,0.1647513,0.10212919,0.12514974004077434,0.20435287231159688,28,0.017074793577194214,0.14053258477861777,-0.03741805403148662,0.07156764118587505,0.1703511,0.097111955,0.13269501778710774,0.20800718810926982,28,0.006791761943272181,0.005599797,-0.06525560257718044,0.07883912646372479,-0.04904693039473519,0.06024652393874154
7,0.14405793803078787,0.12343996668264778,0.09619291580939608,0.19192296025217964,0.12573531,0.09875697,0.08744136070950874,0.16402926469103446,28,0.11483235018593925,0.13550948451414727,0.06228725752438413,0.16737744284749437,0.1785281,0.11527915,0.13382751411975338,0.2232286863845496,28,-0.02922558784484862,0.052792788,-0.10030334185456494,0.0418521661648677,-0.006067807409425266,0.11165338251318503
8,0.1535988790648324,0.16156268323991715,0.09095141057265735,0.21624634755700747,0.20950386,0.10082572,0.1704077237885935,0.24859999477448633,28,0.12641831806727818,0.17330577653995657,0.05921735335455304,0.19361928278000334,0.24025281,0.12951547,0.19003195162428665,0.2904736638485069,28,-0.027180560997554226,0.030748948,-0.11905370705666661,0.06469258506155816,-0.03289570547000947,0.09439360237972322
9,0.11711984447070531,0.14171590367925974,0.06216815369318407,0.17207153524822655,0.203069,0.12161126,0.15591307768763332,0.2502249251848337,28,0.06110396981239319,0.15187973459795556,0.0022111568371596946,0.11999678278762668,0.22047706,0.12957603,0.17023272130667905,0.2707213976603772,28,-0.05601587465831212,0.017408058,-0.13656431809109448,0.024532568774470256,-0.05149894205729107,0.0863150581518803
