layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
0,0.1887346122946058,0.2442526149872915,0.09402333556478787,0.28344588902442375,0.05772448,0.13078873,0.0070098991952778425,0.10843905997649417,28,0.2834665519850595,0.2871911979433266,0.1721054309416121,0.39482767302850685,0.051475137,0.10168235,0.012046835346164506,0.09090343959814091,28,0.09473193969045368,-0.006249342,-0.05145809150129857,0.24092197088220593,-0.0704876395604265,0.05798895533295992
1,-0.007672497204371861,0.24099606547761673,-0.10112101585968072,0.08577602145093699,0.088627584,0.09089849,0.05338082598529991,0.12387434257186714,28,-0.0016980511801583426,0.24669290318798645,-0.09735557289117555,0.09395947053085887,0.099537194,0.09011462,0.06459438781323235,0.13447999973712166,28,0.005974446024213518,0.0109096095,-0.12775284026682485,0.13970173231525188,-0.03872236863363298,0.06054158762681993
2,-0.029569430010659353,0.2637952628761613,-0.13185855450408235,0.07271969448276365,0.23306836,0.22062092,0.14752050167696423,0.31861622207982593,28,-0.04319409813199725,0.2862043029209105,-0.15417254123532845,0.06778434497133395,0.52303857,0.30807298,0.4035803336476313,0.6424967985774053,28,-0.013624668121337894,0.28997022,-0.16455272987020655,0.13730339362753077,0.14303926361985012,0.43690117465071876
3,0.15652216651609965,0.182268649196645,0.08584576260479765,0.22719857042740166,0.17699097,0.18118197,0.10673593832457103,0.24724600361382926,28,0.25626521025385174,0.17957930437404898,0.1866316253998935,0.32589879510780995,0.16030712,0.14915125,0.10247230110243835,0.21814194741173706,28,0.09974304373775209,-0.016683847,0.0005261590383879994,0.19895992843711618,-0.10768184511251969,0.07431415168829483
4,0.15678769030741282,0.1868207689651332,0.08434615862000497,0.22922922199482068,0.16298334,0.12871583,0.11307255530844615,0.21289413070191457,28,0.09629615609134946,0.24728214685561545,0.00041014953864892956,0.19218216264405,0.1069432,0.14491758,0.050750021487107125,0.16313637360967176,28,-0.06049153421606336,-0.056040145,-0.18066599808356829,0.05968292965144156,-0.13119837265107015,0.0191180817374883
5,0.1077355710523469,0.2073774075824904,0.02732300704323931,0.1881481350614545,0.1789132,0.1447106,0.12280028715293434,0.23502612457115624,28,0.06987376298223223,0.27706662969609874,-0.037561460338142616,0.17730898630260708,0.21638845,0.20230103,0.13794429480737658,0.2948326033382991,28,-0.037861808070114675,0.037475243,-0.17205758915289554,0.09633397301266618,-0.058972376923243155,0.13392286334482822
6,0.08988162662301745,0.1514259000277984,0.03116479232283703,0.14859846092319787,0.16343391,0.149014,0.10565231381577561,0.22121550501662185,28,-0.02096033309187208,0.17776528922606358,-0.08989051630289657,0.04796985011915242,0.11040445,0.11718119,0.0649663307684335,0.15584256267372043,28,-0.11084195971488953,-0.053029463,-0.20139049249008278,-0.020293426939696282,-0.12653684801486842,0.020477922624624903
7,0.09787456904138837,0.15788975148767648,0.03665131480220831,0.15909782328056843,0.1921818,0.15215364,0.13318277305092502,0.25118081862006497,28,-0.07381558844021388,0.2547310499782959,-0.17258997809179133,0.024958801211363582,0.10612369,0.21961434,0.020966141519287648,0.19128124505545752,28,-0.17169015748160227,-0.0860581,-0.2878997393183722,-0.05548057564483232,-0.18965681543910515,0.017540610342860335
8,0.12446411379746028,0.12606583876890315,0.07558088467649701,0.17334734291842355,0.1794047,0.084191635,0.14675859769555538,0.21205081383017094,28,7.57617609841483e-06,0.13735839220563734,-0.053254448044309066,0.0532696003965059,0.11573156,0.09125056,0.08034828878696597,0.15111483060066067,28,-0.12445653762136187,-0.063673146,-0.19675047452721772,-0.05216260071550603,-0.11181610439585617,-0.015530187742243504
9,0.22774927530969893,0.11442082701956312,0.18338151035427228,0.2721170402651256,0.15757324,0.1091417,0.11525250194120759,0.19989397408914214,28,0.04187812123979841,0.09715121667719702,0.004206812100155194,0.07954943037944162,0.08144148,0.08696122,0.04772143709732142,0.11516151678489599,28,-0.1858711540699005,-0.07613176,-0.24407447098083396,-0.12766783715896707,-0.13024354855495568,-0.022019973593176638
