layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
0,-2.2073923626116345,11.120805095399213,-6.519590407670541,2.104805682447272,-0.474746,2.9830291,-1.6314439311239928,0.6819519534323424,28,-0.847389246736254,3.9435328939608025,-2.3765316685379383,0.6817531750654302,1.8100007,9.138794,-1.7336540647607226,5.353655380831279,28,1.3600031158753805,2.2847466,-3.2152923419025514,5.935298573653312,-1.4429116399263546,6.012404933688561
1,0.03548200215612139,0.08323718001534706,0.0032059931928053384,0.06775801111943744,0.15316913,0.06953749,0.12620530134368946,0.18013294929336499,28,0.03479609532015664,0.08161358514417619,0.0031496507246512595,0.06644253991566203,0.1530167,0.069505796,0.12606516731458262,0.1799682353667681,28,-0.0006859068359647488,-0.00015242398,-0.04588809937279254,0.044516285700863044,-0.038276340220883234,0.0379714922651795
2,-0.023283258080482483,0.08129963510192362,-0.054807965558321105,0.008241449397356139,0.090573736,0.09956669,0.05196580337757191,0.12918166769271772,28,-0.031349154455321174,0.08096843198133351,-0.06274543477011951,4.712585947716508e-05,0.09352194,0.10093501,0.054383428779823474,0.13266044667603286,28,-0.00806589637483869,0.0029482022,-0.0525578461991461,0.03642605344946872,-0.05202811574784961,0.05792452013341632
3,-0.0013309823615210398,0.13028331602972754,-0.05184957844046932,0.04918761371742725,0.13136218,0.07817343,0.10104969366929864,0.16167467609502936,28,-0.0008186016763959612,0.12389769181038758,-0.048861111173581336,0.04722390782078941,0.13304915,0.07290078,0.1047811740616999,0.1613171166201391,28,0.0005123806851250785,0.0016869605,-0.06920283478879478,0.07022759615904493,-0.03976090225782886,0.04313482317533985
4,0.04677898862532207,0.2666533803018837,-0.056618398109010794,0.15017637535965495,0.24795268,0.25330544,0.1497310908180551,0.34617427870213224,28,0.042059634413037984,0.2659726256789829,-0.06107378323552679,0.14519305206160277,0.24064822,0.26513168,0.1378408911574464,0.34345555874222705,28,-0.004719354212284088,-0.00730446,-0.15075880579767756,0.14132009737310938,-0.14949035713490258,0.13488143751438866
5,0.10855706036090851,0.2587055676099538,0.008241513660514677,0.20887260706130234,0.2892991,0.2663788,0.18600818885239442,0.3925900124224774,28,0.11623176293713706,0.25101243971441795,0.018899299816298315,0.21356422605797581,0.27302995,0.26859498,0.16887969264716088,0.3771802138355357,28,0.0076747025762285564,-0.016269147,-0.13209946272969747,0.14744886788215456,-0.16295346571001773,0.13041517091784244
6,0.15525365195104054,0.21038640415839371,0.07367432087418106,0.2368329830279,0.29064825,0.18811701,0.2177040893596517,0.3635924141842021,28,0.13798659827028,0.20201339265138357,0.05965398211577108,0.21631921442478894,0.30771866,0.20338753,0.2288532139350068,0.3865841148804534,28,-0.017267053680760536,0.017070413,-0.1303651792733515,0.09583107191183045,-0.09035681905287968,0.12449764432448612
7,0.13458700052329473,0.2565386706168331,0.03511168876069733,0.23406231228589214,0.24857979,0.142532,0.19331164304255666,0.3038479274129945,28,0.1254443632704871,0.26497959759938666,0.022696001713346403,0.2281927248276278,0.25773838,0.15124458,0.19909185560182358,0.31638490764662003,28,-0.009142637252807617,0.009158596,-0.15215509633572408,0.13386982183010884,-0.07142665383646801,0.08974384662936047
8,0.11055600749594825,0.2842097016290971,0.0003509900319880743,0.22076102495990843,0.1739938,0.20530532,0.09438470262218113,0.25360288959812527,28,0.10871106811932155,0.2835931145604914,-0.0012548618389192773,0.21867699807756236,0.22073713,0.21954855,0.13560508206998723,0.3058691768297015,28,-0.0018449393766267058,0.046743333,-0.15752940111193442,0.15383952235868104,-0.06981168488460315,0.16329835156398548
9,0.24780661719185965,0.2014959219319807,0.16967465523508568,0.3259385791486336,0.23904355,0.16510966,0.17502070457605257,0.30306639283033476,28,0.21680252999067307,0.1875505973954487,0.1440780003814927,0.2895270595998534,0.23576309,0.17582981,0.16758339825671062,0.30394277748067033,28,-0.03100408720118658,-0.0032804608,-0.1377442421855753,0.07573606778320213,-0.09680796405051183,0.09024704238150548
10,0.11181488846029554,0.17899111379355434,0.04240938010345893,0.18122039681713215,0.28640312,0.27411512,0.18011237400861072,0.3926938651195021,28,0.11620402974741799,0.16997629730931868,0.05029410230279144,0.18211395719204454,0.30620837,0.28858998,0.19430485839358524,0.4181118858385925,28,0.00438914128712245,0.019805253,-0.09132524178055892,0.10010352435480382,-0.1345324258488527,0.17414293095291764
11,0.16690612477915628,0.12973846042826026,0.11659880164666568,0.21721344791164687,0.17755611,0.2553418,0.07854489937134868,0.2765673254459273,28,0.1637133934668132,0.13094816761916392,0.11293699485471848,0.21448979207890795,0.17939878,0.25110918,0.08202881047015509,0.2767687397312609,28,-0.0031927313123430723,0.0018426627,-0.07467048601106846,0.06828502338638232,-0.137024657328558,0.14070998271269802
12,0.20438996383122035,0.19034215611866087,0.13058298075166286,0.27819694691077784,0.25314334,0.2117323,0.1710421260697948,0.3352445546286,28,0.17918529893670762,0.19220700834325494,0.1046552016537958,0.25371539621961947,0.26223215,0.23934245,0.1694248406713962,0.3550394685441495,28,-0.02520466489451273,0.009088814,-0.13009606660269082,0.07968673681366537,-0.11482166514586212,0.132999293663013
13,0.13843891450337,0.13692948705637514,0.08534320233773716,0.19153462666900284,0.20352106,0.18895979,0.1302500996314339,0.27679201629530864,28,0.1528188767177718,0.13958490031819662,0.09869350278051173,0.20694425065503189,0.19841528,0.18992399,0.12477044544600806,0.2720601133308474,28,0.014379962214401798,-0.0051057786,-0.06144029071464062,0.09020021514344422,-0.1089912679432238,0.09877971079333671
14,0.29092520688261303,0.13828189241072267,0.23730508666602376,0.3445453270992023,0.30504674,0.28490338,0.1945727403870797,0.41552073400104284,28,0.2639407089778355,0.14638404723214155,0.20717890109727113,0.3207025168583999,0.3215812,0.307008,0.20253594065790048,0.4406264886748327,28,-0.026984497904777527,0.016534477,-0.1050679156444717,0.05109891983491664,-0.14587328476293931,0.1789422397075499
