model,version,token_position,auc_mean,auc_lower,auc_upper,ci_width,passes_threshold
Llama,Base,bos,0.35229534582833355,0.2242182256597892,0.47220082631495314,0.24798260065516395,False
Llama,Base,first_content,0.5652928155626878,0.4130718088624339,0.7105648746572659,0.29749306579483203,False
Llama,Base,mid,0.6935365962572146,0.5528164778361074,0.8221078976640711,0.2692914198279637,True
Llama,Base,last,0.5999113262919065,0.45822561692126906,0.7377986524470898,0.2795730355258207,False
Llama,Instruct,bos,0.3517074622011411,0.22850678733031676,0.47531208664021163,0.24680529930989487,False
Llama,Instruct,first_content,0.5287924693728201,0.38686939736962644,0.6730293698392656,0.2861599724696392,False
Llama,Instruct,mid,0.686783538649912,0.5521847433612139,0.8114421875,0.25925744413878604,True
Llama,Instruct,last,0.47633782692178556,0.3298459515202076,0.6222461231433618,0.2924001716231542,False
Mistral,Base,bos,0.3568898063816947,0.2307703003337041,0.48498373192436034,0.25421343159065624,False
Mistral,Base,first_content,0.5228984384376787,0.3753602733195614,0.6748691984486102,0.29950892512904875,False
Mistral,Base,mid,0.7751568952932469,0.6417131696428571,0.8834952731092437,0.24178210346638662,True
Mistral,Base,last,0.5315504880301615,0.3766127450980392,0.6863957589285714,0.3097830138305322,False
Mistral,Instruct,bos,0.35493721425976865,0.22765640737787474,0.48281298106527093,0.2551565736873962,False
Mistral,Instruct,first_content,0.45503714502999104,0.31046309523809523,0.6034780191917616,0.29301492395366635,False
Mistral,Instruct,mid,0.8830251079307793,0.7762968489084049,0.9653132743079289,0.189016425399524,True
Mistral,Instruct,last,0.5041392118358408,0.3394260060926727,0.6595130223806694,0.32008701628799674,False
Qwen,Base,bos,0.5140106439866673,0.36541609870740305,0.658518940798418,0.29310284209101495,False
Qwen,Base,first_content,0.775745939326089,0.6452522961469535,0.8900559842726486,0.2448036881256952,True
Qwen,Base,mid,0.6797925723682007,0.5357103174603175,0.8061306878986906,0.2704203704383731,True
Qwen,Base,last,0.7289899170783656,0.5832777777777779,0.8454214145435386,0.2621436367657607,True
Qwen,Instruct,bos,0.5313776516491633,0.3699446097883598,0.6742042824074074,0.30425967261904757,False
Qwen,Instruct,first_content,0.7967419115973823,0.6787153521808253,0.901606916690121,0.2228915645092957,True
Qwen,Instruct,mid,0.6278088449444656,0.48595433378042074,0.76,0.27404566621957926,False
Qwen,Instruct,last,0.6363995337870137,0.47655055095939935,0.7876062566088521,0.31105570564945273,False
