model,version,layer,token_pos,n_samples,baseline_acc
Llama,base,10,last,120,0.9916666666666668
Llama,base,10,bos,120,0.175
Llama,base,10,first_content,120,0.3333333333333333
Llama,base,10,mid,120,0.875
Llama,base,15,last,120,0.975
Llama,base,15,bos,120,0.175
Llama,base,15,first_content,120,0.3416666666666667
Llama,base,15,mid,120,0.8583333333333334
Llama,base,20,last,120,0.975
Llama,base,20,bos,120,0.175
Llama,base,20,first_content,120,0.3333333333333333
Llama,base,20,mid,120,0.8416666666666666
Llama,base,25,last,120,0.9666666666666668
Llama,base,25,bos,120,0.175
Llama,base,25,first_content,120,0.3416666666666667
Llama,base,25,mid,120,0.825
Llama,instruct,10,last,120,0.9833333333333334
Llama,instruct,10,bos,120,0.175
Llama,instruct,10,first_content,120,0.3416666666666667
Llama,instruct,10,mid,120,0.85
Llama,instruct,15,last,120,1.0
Llama,instruct,15,bos,120,0.175
Llama,instruct,15,first_content,120,0.3416666666666667
Llama,instruct,15,mid,120,0.825
Llama,instruct,20,last,120,0.9916666666666668
Llama,instruct,20,bos,120,0.175
Llama,instruct,20,first_content,120,0.3416666666666667
Llama,instruct,20,mid,120,0.8333333333333334
Llama,instruct,25,last,120,0.9916666666666668
Llama,instruct,25,bos,120,0.175
Llama,instruct,25,first_content,120,0.3416666666666667
Llama,instruct,25,mid,120,0.8166666666666668
