model,version,layer,token_pos,n_samples,baseline_acc
Mistral,base,10,last,120,0.9916666666666668
Mistral,base,10,bos,120,0.175
Mistral,base,10,first_content,120,0.3416666666666667
Mistral,base,10,mid,120,0.85
Mistral,base,15,last,120,1.0
Mistral,base,15,bos,120,0.175
Mistral,base,15,first_content,120,0.3333333333333333
Mistral,base,15,mid,120,0.8666666666666668
Mistral,base,20,last,120,0.9666666666666668
Mistral,base,20,bos,120,0.175
Mistral,base,20,first_content,120,0.3333333333333333
Mistral,base,20,mid,120,0.825
Mistral,base,25,last,120,0.95
Mistral,base,25,bos,120,0.175
Mistral,base,25,first_content,120,0.3416666666666667
Mistral,base,25,mid,120,0.8416666666666668
Mistral,instruct,10,last,120,1.0
Mistral,instruct,10,bos,120,0.175
Mistral,instruct,10,first_content,120,0.3416666666666667
Mistral,instruct,10,mid,120,0.8333333333333333
Mistral,instruct,15,last,120,0.9916666666666668
Mistral,instruct,15,bos,120,0.175
Mistral,instruct,15,first_content,120,0.3416666666666667
Mistral,instruct,15,mid,120,0.8416666666666666
Mistral,instruct,20,last,120,0.9916666666666668
Mistral,instruct,20,bos,120,0.175
Mistral,instruct,20,first_content,120,0.3416666666666667
Mistral,instruct,20,mid,120,0.8333333333333334
Mistral,instruct,25,last,120,0.9666666666666668
Mistral,instruct,25,bos,120,0.175
Mistral,instruct,25,first_content,120,0.3416666666666667
Mistral,instruct,25,mid,120,0.8333333333333334
