model,version,layer,token_pos,comparison,n_samples,baseline_auc,baseline_auc_lower,baseline_auc_upper,inlp_auc,inlp_auc_lower,inlp_auc_upper,auc_drop
Mistral,base,10,last,self_vs_third,60,1.0,0.9999999999999999,1.0,0.4284925843995047,0.2884615384615385,0.5801488807245385,0.5715074156004953
Mistral,base,10,last,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.43627546502957615,0.2957342545784999,0.5914702581369248,0.5637245349704239
Mistral,base,10,last,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Mistral,base,10,last,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.45594289630735124,0.30860112058666006,0.6051603051009057,0.5440571036926487
Mistral,base,10,last,third_vs_confounder,60,1.0,0.9999999999999999,1.0,0.4385830411375853,0.2873229847494554,0.5982902863337646,0.5614169588624147
Mistral,base,10,last,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.3527383959776836,0.205635085978836,0.5089695395677737,0.6472616040223165
Mistral,base,10,bos,self_vs_third,60,0.44515724282882435,0.31942276785714285,0.5814732142857142,0.44909753781433964,0.3216961199294533,0.5800089285714286,-0.003940294985515291
Mistral,base,10,bos,self_vs_neutral,60,0.35147781167956466,0.22510730368702503,0.4882952008928571,0.3557798704703304,0.23269538388387892,0.48654924242424236,-0.004302058790765728
Mistral,base,10,bos,self_vs_confounder,60,0.3677447719784166,0.23154520089285713,0.5089704241071428,0.3671838125647241,0.23205573666099985,0.5017121154988802,0.0005609594136924967
Mistral,base,10,bos,third_vs_neutral,60,0.3677810935592954,0.26614415026439486,0.4588431590656285,0.3653587920658972,0.265625,0.4611010863356464,0.0024223014933981712
Mistral,base,10,bos,third_vs_confounder,60,0.3365199673204667,0.2117178873757821,0.4680283950617284,0.3385960920619076,0.21436052313027548,0.4737723214285714,-0.002076124741440921
Mistral,base,10,bos,neutral_vs_confounder,60,0.3253040744098653,0.2014302455357143,0.4661726992143658,0.3270141572842649,0.1975275473437238,0.46048108878968247,-0.00171008287439961
Mistral,base,10,first_content,self_vs_third,60,0.7193852747287586,0.5791140572390573,0.8406393783232019,0.521187596142985,0.36917979385999405,0.677099107142857,0.19819767858577353
Mistral,base,10,first_content,self_vs_neutral,60,0.7407454812488047,0.6066279199110122,0.8630803477483165,0.3592249776952066,0.22428383347568726,0.5022361883574342,0.38152050355359807
Mistral,base,10,first_content,self_vs_confounder,60,0.6896924636634053,0.5423932717900842,0.8103576354679803,0.6880222349233844,0.5305626525614882,0.8131579989927816,0.0016702287400208737
Mistral,base,10,first_content,third_vs_neutral,60,0.6794443275081492,0.536563950892857,0.8041440727964165,0.47266178028937306,0.3265683812541432,0.6166721376050419,0.20678254721877615
Mistral,base,10,first_content,third_vs_confounder,60,0.32002897272439207,0.1914759574915825,0.46224898034853534,0.318808531735555,0.19139488928466508,0.4578653198653198,0.001220440988837057
Mistral,base,10,first_content,neutral_vs_confounder,60,0.6947823624477154,0.5621944444444444,0.8147486772486773,0.4003998009097331,0.26138001169465697,0.548842629376556,0.2943825615379823
Mistral,base,10,mid,self_vs_third,60,0.9608123242732804,0.9034729010535462,0.9977153118486451,0.4838068087952777,0.3337053571428572,0.6339313026378516,0.47700551547800274
Mistral,base,10,mid,self_vs_neutral,60,0.9650508295316342,0.9110122358175751,0.9988876838462489,0.35853279787823344,0.21801036990505326,0.49831649831649827,0.6065180316534008
Mistral,base,10,mid,self_vs_confounder,60,0.9462656168832237,0.8698803409016554,1.0,0.9454776989068123,0.8720693814059273,1.0,0.000787917976411423
