model,version,layer,token_pos,comparison,n_samples,baseline_auc,baseline_auc_lower,baseline_auc_upper,inlp_auc,inlp_auc_lower,inlp_auc_upper,auc_drop
Qwen,base,10,last,self_vs_third,60,1.0,0.9999999999999999,1.0,0.4744514974744771,0.3325626984126985,0.6203814460393408,0.5255485025255229
Qwen,base,10,last,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.3887102858240983,0.23690945186009144,0.5353734789496747,0.6112897141759017
Qwen,base,10,last,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Qwen,base,10,last,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.6256342352535114,0.47424983839689727,0.7641905875079453,0.37436576474648864
Qwen,base,10,last,third_vs_confounder,60,1.0,0.9999999999999999,1.0,0.37407067966231905,0.237365320483527,0.5145138524159664,0.625929320337681
Qwen,base,10,last,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.48567048798127854,0.3451398513251455,0.6261875656593746,0.5143295120187215
Qwen,base,10,bos,self_vs_third,60,0.7332077278271729,0.6048614758403362,0.8552272727272727,0.5025690282138647,0.3489627100840336,0.6478967633928572,0.23063869961330818
Qwen,base,10,bos,self_vs_neutral,60,0.7293531294354018,0.5983423876927165,0.8459688902848402,0.4149118654484081,0.2624860956618465,0.5533971277610042,0.3144412639869937
Qwen,base,10,bos,self_vs_confounder,60,0.6900749734898125,0.5559209230567227,0.8170402697315771,0.6890024414651098,0.5487971823498139,0.8187465280583386,0.0010725320247026993
Qwen,base,10,bos,third_vs_neutral,60,0.6826909275606297,0.544114705882353,0.8038973396366332,0.382971559925143,0.25112379768370086,0.5271511437908496,0.2997193676354867
Qwen,base,10,bos,third_vs_confounder,60,0.3255451648085649,0.1927049107142857,0.4672004201680673,0.3217313320182557,0.18741232163840862,0.46053948832035596,0.0038138327903091684
Qwen,base,10,bos,neutral_vs_confounder,60,0.6990554158692005,0.554938973063973,0.8183015046296297,0.3721079832643585,0.23712491919844858,0.5300742028179458,0.326947432604842
Qwen,base,10,first_content,self_vs_third,60,0.812720811949476,0.6890440867003367,0.9143537929133034,0.5275948976670206,0.3678019650084867,0.6793232524975523,0.2851259142824554
Qwen,base,10,first_content,self_vs_neutral,60,0.9062788453808555,0.8212265625,0.9701063715132711,0.3859788205854675,0.23698272913816693,0.5348028273809523,0.520300024795388
Qwen,base,10,first_content,self_vs_confounder,60,0.7527154602166187,0.62056436763468,0.878351314484127,0.7514332006005893,0.6126688825256532,0.8732505980861244,0.0012822596160294575
Qwen,base,10,first_content,third_vs_neutral,60,0.9047417763213461,0.7869783359914939,1.0,0.4896882753273202,0.33136825956391175,0.6397651515151515,0.41505350099402594
Qwen,base,10,first_content,third_vs_confounder,60,0.10077537769257647,0.022284126984127,0.2033566217732884,0.10245454232638838,0.018647463194031825,0.20561111111111105,-0.0016791646338119165
Qwen,base,10,first_content,neutral_vs_confounder,60,0.9045827220082174,0.7879248013499659,1.0,0.3907853660266452,0.2527133322739552,0.5474525345622119,0.5137973559815723
Qwen,base,10,mid,self_vs_third,60,0.9955869542942899,0.9820574162679426,1.0,0.426956725428406,0.2791905609407278,0.588197544642857,0.5686302288658839
Qwen,base,10,mid,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.36596712893697464,0.2188525883838384,0.5039574589340029,0.6340328710630254
Qwen,base,10,mid,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Qwen,base,10,mid,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.39899344454965113,0.25569382647385985,0.5506242738845631,0.6010065554503489
Qwen,base,10,mid,third_vs_confounder,60,0.9957683243314738,0.9823693972542935,1.0,0.42479982495206214,0.2814167805498173,0.5714285714285714,0.5709684993794116
Qwen,base,10,mid,neutral_vs_confounder,60,1.0,0.9999999999999999,1.0,0.3342287644899152,0.20125139043381532,0.4819563489320522,0.6657712355100849
Qwen,base,15,last,self_vs_third,60,1.0,0.9999999999999999,1.0,0.4941572285337047,0.33249823778195486,0.6335258129948308,0.5058427714662953
Qwen,base,15,last,self_vs_neutral,60,1.0,0.9999999999999999,1.0,0.465947198683553,0.31578045112781955,0.6187891476034858,0.534052801316447
Qwen,base,15,last,self_vs_confounder,60,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0
Qwen,base,15,last,third_vs_neutral,60,1.0,0.9999999999999999,1.0,0.4479133508756643,0.2878465332892416,0.603820649955244,0.5520866491243357
